"projectId","projectName","state","projectType","landRequired","landAcquired","land_acquisition_percentage","pending_parcels","disputed_parcels","compensation_pending_percentage","approval_delay_days","possession_delay_days","rr_pending_percentage","risk_score","risk_level","recommendation"
"PRJ-001","NH-861 Expansion","Maharashtra","Highways","19.8","19.8","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-002","NH-72 Expansion","Uttar Pradesh","Industrial Corridor","25.2","25.2","100","1","0","5","0","0","25","10","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-003","NH-615 Expansion","Tamil Nadu","Highways","96","47.88","49.9","2","2","65.1","26","28","85","69","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-004","NH-215 Expansion","Tamil Nadu","Public Infrastructure","99.5","15.97","16.1","3","2","88.7","57","32","95.2","73","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-005","NH-88 Expansion","Maharashtra","Industrial Corridor","97.7","14.71","15.1","5","0","92.4","0","25","100","56","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-006","NH-872 Expansion","Karnataka","Public Infrastructure","43.7","43.7","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-007","RURAL ROAD-150","Tamil Nadu","Highways","80.5","80.5","100","0","0","0","0","0","0","15","LOW","Project successfully completed and handed over to executing authority."
"PRJ-008","NH-344 Expansion","Maharashtra","Railways","92.1","49.45","53.7","5","0","59.7","0","26","89.3","52","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-009","RURAL ROAD-294","Uttar Pradesh","Industrial Corridor","26.2","26.2","100","4","3","30","54","37","70","56","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-010","NH-956 Expansion","Tamil Nadu","Highways","81.9","81.9","100","2","0","50","0","20","100","45","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-011","NH-460 Expansion","Tamil Nadu","Railways","78","10.95","14","5","1","90.2","46","20","95.8","71","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-012","NH-253 Expansion","Karnataka","Railways","26","26","100","4","0","5","0","0","25","12","LOW","Project executing within optimal parameters. Proceed with standard milestone tracking."
"PRJ-013","NH-561 Expansion","Maharashtra","Public Infrastructure","67.9","63.76","93.9","1","2","34.3","53","36","71.8","55","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-014","NH-511 Expansion","Maharashtra","Highways","90","56.62","62.9","1","0","43.4","0","21","68.6","45","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-015","NH-476 Expansion","Tamil Nadu","Railways","49.7","23.7","47.7","2","0","64.2","0","28","90.5","52","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
"PRJ-016","RURAL ROAD-271","Karnataka","Industrial Corridor","37.6","15.68","41.7","3","3","70.8","36","21","87.5","69","HIGH","Prioritize compensation approval bottlenecks and district-level verification. Deploy additional land survey units."
"PRJ-017","NH-687 Expansion","Maharashtra","Industrial Corridor","91.5","20.17","22","3","0","89","0","22","100","54","MEDIUM","Maintain proactive monitoring of pending revenue records and schedule timely joint possession surveys."
