"id","type","severity","projectId","projectName","description","createdDate","escalationLevel","status"
"ALT-0001","Delayed Approval","High","PRJ-003","NH-615 Expansion","SLA Alert: Critical acquisition bottleneck identified for NH-615 Expansion. Target date 2029-04-19 at risk.","2026-08-25 10:30","District","Open"
"ALT-0002","Delayed Approval","High","PRJ-004","NH-215 Expansion","SLA Alert: Critical acquisition bottleneck identified for NH-215 Expansion. Target date 2029-12-11 at risk.","2026-08-25 10:30","District","Open"
"ALT-0003","Delayed Approval","High","PRJ-009","RURAL ROAD-294","SLA Alert: Critical acquisition bottleneck identified for RURAL ROAD-294. Target date 2028-09-23 at risk.","2026-08-25 10:30","District","Open"
"ALT-0004","Delayed Approval","High","PRJ-011","NH-460 Expansion","SLA Alert: Critical acquisition bottleneck identified for NH-460 Expansion. Target date 2029-12-05 at risk.","2026-08-25 10:30","District","Open"
"ALT-0005","Delayed Approval","High","PRJ-013","NH-561 Expansion","SLA Alert: Critical acquisition bottleneck identified for NH-561 Expansion. Target date 2028-01-21 at risk.","2026-08-25 10:30","District","Open"
"ALT-0006","Delayed Approval","High","PRJ-016","RURAL ROAD-271","SLA Alert: Critical acquisition bottleneck identified for RURAL ROAD-271. Target date 2027-06-09 at risk.","2026-08-25 10:30","District","Open"
"ALT-0007","Delayed Approval","High","PRJ-019","NH-832 Expansion","SLA Alert: Critical acquisition bottleneck identified for NH-832 Expansion. Target date 2028-04-19 at risk.","2026-08-25 10:30","District","Open"
"ALT-0008","Delayed Approval","High","PRJ-020","NH-485 Expansion","SLA Alert: Critical acquisition bottleneck identified for NH-485 Expansion. Target date 2029-12-17 at risk.","2026-08-25 10:30","District","Open"
"ALT-0009","Delayed Approval","High","PRJ-035","RURAL ROAD-446","SLA Alert: Critical acquisition bottleneck identified for RURAL ROAD-446. Target date 2030-01-11 at risk.","2026-08-25 10:30","District","Open"
"ALT-0010","Delayed Approval","High","PRJ-045","RURAL ROAD-65","SLA Alert: Critical acquisition bottleneck identified for RURAL ROAD-65. Target date 2029-03-07 at risk.","2026-08-25 10:30","District","Open"
"ALT-0011","Delayed Approval","High","PRJ-049","RURAL ROAD-81","SLA Alert: Critical acquisition bottleneck identified for RURAL ROAD-81. Target date 2030-05-15 at risk.","2026-08-25 10:30","District","Open"
